,,,,
Section,Item,Type,Codelist,XML
,percentage,xsd:decimal,,iati-activities/iati-activity/recipient-region/@percentage
,narrative,,,iati-activities/iati-activity/recipient-region/narrative
,,xsd:string,,iati-activities/iati-activity/recipient-region/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/recipient-region/narrative/@xml:lang
location,,,,iati-activities/iati-activity/location
,ref,xsd:string,,iati-activities/iati-activity/location/@ref
,location-reach,,,iati-activities/iati-activity/location/location-reach
,code,xsd:string,Geographic Location Reach,iati-activities/iati-activity/location/location-reach/@code
,location-id,,,iati-activities/iati-activity/location/location-id
,code,xsd:string,,iati-activities/iati-activity/location/location-id/@code
,vocabulary,xsd:string,Geographic Vocabulary,iati-activities/iati-activity/location/location-id/@vocabulary
,name,,,iati-activities/iati-activity/location/name
,narrative,,,iati-activities/iati-activity/location/name/narrative
,,xsd:string,,iati-activities/iati-activity/location/name/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/location/name/narrative/@xml:lang
,description,,,iati-activities/iati-activity/location/description
,narrative,,,iati-activities/iati-activity/location/description/narrative
,,xsd:string,,iati-activities/iati-activity/location/description/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/location/description/narrative/@xml:lang
,activity-description,,,iati-activities/iati-activity/location/activity-description
,narrative,,,iati-activities/iati-activity/location/activity-description/narrative
,,xsd:string,,iati-activities/iati-activity/location/activity-description/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/location/activity-description/narrative/@xml:lang
,administrative,,,iati-activities/iati-activity/location/administrative
,code,xsd:string,(Country),iati-activities/iati-activity/location/administrative/@code
,vocabulary,xsd:string,Geographic Vocabulary,iati-activities/iati-activity/location/administrative/@vocabulary
,level,xsd:nonNegativeInteger,,iati-activities/iati-activity/location/administrative/@level
,point,,,iati-activities/iati-activity/location/point
,srsName,xsd:string,,iati-activities/iati-activity/location/point/@srsName
,pos,xsd:string,,iati-activities/iati-activity/location/point/pos
,exactness,,,iati-activities/iati-activity/location/exactness
,code,xsd:string,Geographic Exactness,iati-activities/iati-activity/location/exactness/@code
,location-class,,,iati-activities/iati-activity/location/location-class
,code,xsd:string,Geographic Location Class,iati-activities/iati-activity/location/location-class/@code
,feature-designation,,,iati-activities/iati-activity/location/feature-designation
,code,xsd:string,Location Type,iati-activities/iati-activity/location/feature-designation/@code
