,,,,
Section,Item,Type,Codelist,XML
,language,,,iati-activities/iati-activity/result/indicator/baseline/document-link/language
,code,xsd:string,Language,iati-activities/iati-activity/result/indicator/baseline/document-link/language/@code
,document-date,,,iati-activities/iati-activity/result/indicator/baseline/document-link/document-date
,iso-date,xsd:date,,iati-activities/iati-activity/result/indicator/baseline/document-link/document-date/@iso-date
,comment,,,iati-activities/iati-activity/result/indicator/baseline/comment
,narrative,,,iati-activities/iati-activity/result/indicator/baseline/comment/narrative
,,xsd:string,,iati-activities/iati-activity/result/indicator/baseline/comment/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/result/indicator/baseline/comment/narrative/@xml:lang
,period,,,iati-activities/iati-activity/result/indicator/period
,period-start,,,iati-activities/iati-activity/result/indicator/period/period-start
,iso-date,xsd:date,,iati-activities/iati-activity/result/indicator/period/period-start/@iso-date
,period-end,,,iati-activities/iati-activity/result/indicator/period/period-end
,iso-date,xsd:date,,iati-activities/iati-activity/result/indicator/period/period-end/@iso-date
,target,,,iati-activities/iati-activity/result/indicator/period/target
,value,xsd:string,,iati-activities/iati-activity/result/indicator/period/target/@value
,location,,,iati-activities/iati-activity/result/indicator/period/target/location
,ref,xsd:string,,iati-activities/iati-activity/result/indicator/period/target/location/@ref
,dimension,,,iati-activities/iati-activity/result/indicator/period/target/dimension
,name,xsd:string,,iati-activities/iati-activity/result/indicator/period/target/dimension/@name
,value,xsd:string,,iati-activities/iati-activity/result/indicator/period/target/dimension/@value
,comment,,,iati-activities/iati-activity/result/indicator/period/target/comment
,narrative,,,iati-activities/iati-activity/result/indicator/period/target/comment/narrative
,,xsd:string,,iati-activities/iati-activity/result/indicator/period/target/comment/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/result/indicator/period/target/comment/narrative/@xml:lang
,document-link,,,iati-activities/iati-activity/result/indicator/period/target/document-link
,url,xsd:anyURI,,iati-activities/iati-activity/result/indicator/period/target/document-link/@url
,format,xsd:string,File Format,iati-activities/iati-activity/result/indicator/period/target/document-link/@format
,title,,,iati-activities/iati-activity/result/indicator/period/target/document-link/title
,narrative,,,iati-activities/iati-activity/result/indicator/period/target/document-link/title/narrative
,,xsd:string,,iati-activities/iati-activity/result/indicator/period/target/document-link/title/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/result/indicator/period/target/document-link/title/narrative/@xml:lang
,description,,,iati-activities/iati-activity/result/indicator/period/target/document-link/description
,narrative,,,iati-activities/iati-activity/result/indicator/period/target/document-link/description/narrative
,,xsd:string,,iati-activities/iati-activity/result/indicator/period/target/document-link/description/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/result/indicator/period/target/document-link/description/narrative/@xml:lang
,category,,,iati-activities/iati-activity/result/indicator/period/target/document-link/category
,code,xsd:string,Document Category,iati-activities/iati-activity/result/indicator/period/target/document-link/category/@code
,language,,,iati-activities/iati-activity/result/indicator/period/target/document-link/language
,code,xsd:string,Language,iati-activities/iati-activity/result/indicator/period/target/document-link/language/@code
,document-date,,,iati-activities/iati-activity/result/indicator/period/target/document-link/document-date
,iso-date,xsd:date,,iati-activities/iati-activity/result/indicator/period/target/document-link/document-date/@iso-date
,actual,,,iati-activities/iati-activity/result/indicator/period/actual
,value,xsd:string,,iati-activities/iati-activity/result/indicator/period/actual/@value
,location,,,iati-activities/iati-activity/result/indicator/period/actual/location
,ref,xsd:string,,iati-activities/iati-activity/result/indicator/period/actual/location/@ref
,dimension,,,iati-activities/iati-activity/result/indicator/period/actual/dimension
,name,xsd:string,,iati-activities/iati-activity/result/indicator/period/actual/dimension/@name
,value,xsd:string,,iati-activities/iati-activity/result/indicator/period/actual/dimension/@value
,comment,,,iati-activities/iati-activity/result/indicator/period/actual/comment
,narrative,,,iati-activities/iati-activity/result/indicator/period/actual/comment/narrative
,,xsd:string,,iati-activities/iati-activity/result/indicator/period/actual/comment/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/result/indicator/period/actual/comment/narrative/@xml:lang
,document-link,,,iati-activities/iati-activity/result/indicator/period/actual/document-link
,url,xsd:anyURI,,iati-activities/iati-activity/result/indicator/period/actual/document-link/@url
,format,xsd:string,File Format,iati-activities/iati-activity/result/indicator/period/actual/document-link/@format
,title,,,iati-activities/iati-activity/result/indicator/period/actual/document-link/title
,narrative,,,iati-activities/iati-activity/result/indicator/period/actual/document-link/title/narrative
,,xsd:string,,iati-activities/iati-activity/result/indicator/period/actual/document-link/title/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/result/indicator/period/actual/document-link/title/narrative/@xml:lang
,description,,,iati-activities/iati-activity/result/indicator/period/actual/document-link/description
,narrative,,,iati-activities/iati-activity/result/indicator/period/actual/document-link/description/narrative
,,xsd:string,,iati-activities/iati-activity/result/indicator/period/actual/document-link/description/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/result/indicator/period/actual/document-link/description/narrative/@xml:lang
,category,,,iati-activities/iati-activity/result/indicator/period/actual/document-link/category
,code,xsd:string,Document Category,iati-activities/iati-activity/result/indicator/period/actual/document-link/category/@code
,language,,,iati-activities/iati-activity/result/indicator/period/actual/document-link/language
,code,xsd:string,Language,iati-activities/iati-activity/result/indicator/period/actual/document-link/language/@code
,document-date,,,iati-activities/iati-activity/result/indicator/period/actual/document-link/document-date
,iso-date,xsd:date,,iati-activities/iati-activity/result/indicator/period/actual/document-link/document-date/@iso-date
crs-add,,,,iati-activities/iati-activity/crs-add
,other-flags,,,iati-activities/iati-activity/crs-add/other-flags
,code,xsd:string,CRS Additional Other Flags,iati-activities/iati-activity/crs-add/other-flags/@code
,significance,xsd:boolean,,iati-activities/iati-activity/crs-add/other-flags/@significance
,loan-terms,,,iati-activities/iati-activity/crs-add/loan-terms
,rate-1,xsd:decimal,,iati-activities/iati-activity/crs-add/loan-terms/@rate-1
,rate-2,xsd:decimal,,iati-activities/iati-activity/crs-add/loan-terms/@rate-2
,repayment-type,,,iati-activities/iati-activity/crs-add/loan-terms/repayment-type
,code,xsd:string,Loan Repayment Type,iati-activities/iati-activity/crs-add/loan-terms/repayment-type/@code
,repayment-plan,,,iati-activities/iati-activity/crs-add/loan-terms/repayment-plan
,code,xsd:string,Loan Repayment Period,iati-activities/iati-activity/crs-add/loan-terms/repayment-plan/@code
,commitment-date,,,iati-activities/iati-activity/crs-add/loan-terms/commitment-date
,iso-date,xsd:date,,iati-activities/iati-activity/crs-add/loan-terms/commitment-date/@iso-date
,repayment-first-date,,,iati-activities/iati-activity/crs-add/loan-terms/repayment-first-date
,iso-date,xsd:date,,iati-activities/iati-activity/crs-add/loan-terms/repayment-first-date/@iso-date
,repayment-final-date,,,iati-activities/iati-activity/crs-add/loan-terms/repayment-final-date
,iso-date,xsd:date,,iati-activities/iati-activity/crs-add/loan-terms/repayment-final-date/@iso-date
,loan-status,,,iati-activities/iati-activity/crs-add/loan-status
,year,xsd:decimal,,iati-activities/iati-activity/crs-add/loan-status/@year
,currency,xsd:string,Currency,iati-activities/iati-activity/crs-add/loan-status/@currency
,value-date,xsd:date,,iati-activities/iati-activity/crs-add/loan-status/@value-date
,interest-received,xsd:decimal,,iati-activities/iati-activity/crs-add/loan-status/interest-received
,principal-outstanding,xsd:decimal,,iati-activities/iati-activity/crs-add/loan-status/principal-outstanding
,principal-arrears,xsd:decimal,,iati-activities/iati-activity/crs-add/loan-status/principal-arrears
,interest-arrears,xsd:decimal,,iati-activities/iati-activity/crs-add/loan-status/interest-arrears
,channel-code,xsd:string,,iati-activities/iati-activity/crs-add/channel-code
fss,,,,iati-activities/iati-activity/fss
,extraction-date,xsd:date,,iati-activities/iati-activity/fss/@extraction-date
,priority,xsd:boolean,,iati-activities/iati-activity/fss/@priority
,phaseout-year,xsd:decimal,,iati-activities/iati-activity/fss/@phaseout-year
,forecast,,,iati-activities/iati-activity/fss/forecast
,,xsd:decimal,,iati-activities/iati-activity/fss/forecast/text()
,year,xsd:decimal,,iati-activities/iati-activity/fss/forecast/@year
,currency,xsd:string,Currency,iati-activities/iati-activity/fss/forecast/@currency
,value-date,xsd:date,,iati-activities/iati-activity/fss/forecast/@value-date
