Type,Proposed IATIPlus Fields,Labels,Properties
,TransactionFlowType_Code,,TransactionFlowType_Code
,TransactionFinanceType,TransactionFinanceType,
,TransactionFinanceType_Code,,TransactionFinanceType_Code
,TransactionAidType,TransactionAidType,
,TransactionAidType_Code,,TransactionAidType_Code
,TransactionAidType_Vocabulary,,TransactionAidType_Vocabulary
,TransactionTiedStatus,TransactionTiedStatus,
,TransactionTiedStatus_Code,,TransactionTiedStatus_Code
,DocumentLink,DocumentLink,
,DocumentLink_Url,,DocumentLink_Url
,DocumentLink_Format,,DocumentLink_Format
,DocumentLinkTitle,DocumentLinkTitle,
,DocumentLinkTitleNarrative,DocumentLinkTitleNarrative,
,DocumentLinkTitleNarrative_Text,,DocumentLinkTitleNarrative_Text
,DocumentLinkTitleNarrative_Lang,,DocumentLinkTitleNarrative_Lang
,DocumentLinkDescription,DocumentLinkDescription,
,DocumentLinkDescriptionNarrative,DocumentLinkDescriptionNarrative,
,DocumentLinkDescriptionNarrative_Text,,DocumentLinkDescriptionNarrative_Text
,DocumentLinkDescriptionNarrative_Lang,,DocumentLinkDescriptionNarrative_Lang
,DocumentLinkCategory,DocumentLinkCategory,
,DocumentLinkCategory_Code,,DocumentLinkCategory_Code
,DocumentLinkLanguage,DocumentLinkLanguage,
,DocumentLinkLanguage_Code,,DocumentLinkLanguage_Code
,DocumentLinkDocumentDate,DocumentLinkDocumentDate,
,DocumentLinkDocumentDate_IsoDate,,DocumentLinkDocumentDate_IsoDate
,RelatedActivity,RelatedActivity,
,RelatedActivity_Ref,,RelatedActivity_Ref
,RelatedActivity_Type,,RelatedActivity_Type
,LegacyData,LegacyData,
,LegacyData_Name,,LegacyData_Name
,LegacyData_Value,,LegacyData_Value
,LegacyData_IatiEquivalent,,LegacyData_IatiEquivalent
,Conditions,Conditions,
,Conditions_Attached,,Conditions_Attached
,ConditionsCondition,ConditionsCondition,
,ConditionsCondition_Type,,ConditionsCondition_Type
,ConditionsConditionNarrative,ConditionsConditionNarrative,
,ConditionsConditionNarrative_Text,,ConditionsConditionNarrative_Text
,ConditionsConditionNarrative_Lang,,ConditionsConditionNarrative_Lang
,Result,Result,
,Result_Type,,Result_Type
,Result_AggregationStatus,,Result_AggregationStatus
,ResultTitle,ResultTitle,
,ResultTitleNarrative,ResultTitleNarrative,
,ResultTitleNarrative_Text,,ResultTitleNarrative_Text
,ResultTitleNarrative_Lang,,ResultTitleNarrative_Lang
,ResultDescription,ResultDescription,
,ResultDescriptionNarrative,ResultDescriptionNarrative,
,ResultDescriptionNarrative_Text,,ResultDescriptionNarrative_Text
,ResultDescriptionNarrative_Lang,,ResultDescriptionNarrative_Lang
,ResultDocumentLink,ResultDocumentLink,
,ResultDocumentLink_Url,,ResultDocumentLink_Url
,ResultDocumentLink_Format,,ResultDocumentLink_Format
,ResultDocumentLinkTitle,ResultDocumentLinkTitle,
,ResultDocumentLinkTitleNarrative,ResultDocumentLinkTitleNarrative,
,ResultDocumentLinkTitleNarrative_Text,,ResultDocumentLinkTitleNarrative_Text
,ResultDocumentLinkTitleNarrative_Lang,,ResultDocumentLinkTitleNarrative_Lang
,ResultDocumentLinkDescription,ResultDocumentLinkDescription,
,ResultDocumentLinkDescriptionNarrative,ResultDocumentLinkDescriptionNarrative,
,ResultDocumentLinkDescriptionNarrative_Text,,ResultDocumentLinkDescriptionNarrative_Text
,ResultDocumentLinkDescriptionNarrative_Lang,,ResultDocumentLinkDescriptionNarrative_Lang
,ResultDocumentLinkCategory,ResultDocumentLinkCategory,
,ResultDocumentLinkCategory_Code,,ResultDocumentLinkCategory_Code
,ResultDocumentLinkLanguage,ResultDocumentLinkLanguage,
,ResultDocumentLinkLanguage_Code,,ResultDocumentLinkLanguage_Code
,ResultDocumentLinkDocumentDate,ResultDocumentLinkDocumentDate,
,ResultDocumentLinkDocumentDate_IsoDate,,ResultDocumentLinkDocumentDate_IsoDate
,ResultReference,ResultReference,
,ResultReference_Code,,ResultReference_Code
,ResultReference_Vocabulary,,ResultReference_Vocabulary
,ResultReference_VocabularyUri,,ResultReference_VocabularyUri
,ResultIndicator,ResultIndicator,
,ResultIndicator_Measure,,ResultIndicator_Measure
,ResultIndicator_Ascending,,ResultIndicator_Ascending
,ResultIndicator_AggregationStatus,,ResultIndicator_AggregationStatus
,ResultIndicatorTitle,ResultIndicatorTitle,
,ResultIndicatorTitleNarrative,ResultIndicatorTitleNarrative,
,ResultIndicatorTitleNarrative_Text,,ResultIndicatorTitleNarrative_Text
,ResultIndicatorTitleNarrative_Lang,,ResultIndicatorTitleNarrative_Lang
,ResultIndicatorDescription,ResultIndicatorDescription,
,ResultIndicatorDescriptionNarrative,ResultIndicatorDescriptionNarrative,
,ResultIndicatorDescriptionNarrative_Text,,ResultIndicatorDescriptionNarrative_Text
,ResultIndicatorDescriptionNarrative_Lang,,ResultIndicatorDescriptionNarrative_Lang
,ResultIndicatorDocumentLink,ResultIndicatorDocumentLink,
,ResultIndicatorDocumentLink_Url,,ResultIndicatorDocumentLink_Url
,ResultIndicatorDocumentLink_Format,,ResultIndicatorDocumentLink_Format
,ResultIndicatorDocumentLinkTitle,ResultIndicatorDocumentLinkTitle,
,ResultIndicatorDocumentLinkTitleNarrative,ResultIndicatorDocumentLinkTitleNarrative,
,ResultIndicatorDocumentLinkTitleNarrative_Text,,ResultIndicatorDocumentLinkTitleNarrative_Text
,ResultIndicatorDocumentLinkTitleNarrative_Lang,,ResultIndicatorDocumentLinkTitleNarrative_Lang
,ResultIndicatorDocumentLinkDescription,ResultIndicatorDocumentLinkDescription,
,ResultIndicatorDocumentLinkDescriptionNarrative,ResultIndicatorDocumentLinkDescriptionNarrative,
,ResultIndicatorDocumentLinkDescriptionNarrative_Text,,ResultIndicatorDocumentLinkDescriptionNarrative_Text
,ResultIndicatorDocumentLinkDescriptionNarrative_Lang,,ResultIndicatorDocumentLinkDescriptionNarrative_Lang
,ResultIndicatorDocumentLinkCategory,ResultIndicatorDocumentLinkCategory,
,ResultIndicatorDocumentLinkCategory_Code,,ResultIndicatorDocumentLinkCategory_Code
,ResultIndicatorDocumentLinkLanguage,ResultIndicatorDocumentLinkLanguage,
,ResultIndicatorDocumentLinkLanguage_Code,,ResultIndicatorDocumentLinkLanguage_Code
,ResultIndicatorDocumentLinkDocumentDate,ResultIndicatorDocumentLinkDocumentDate,
,ResultIndicatorDocumentLinkDocumentDate_IsoDate,,ResultIndicatorDocumentLinkDocumentDate_IsoDate
,ResultIndicatorReference,ResultIndicatorReference,
,ResultIndicatorReference_Vocabulary,,ResultIndicatorReference_Vocabulary
,ResultIndicatorReference_Code,,ResultIndicatorReference_Code
,ResultIndicatorReference_IndicatorUri,,ResultIndicatorReference_IndicatorUri
,ResultIndicatorBaseline,ResultIndicatorBaseline,
,ResultIndicatorBaseline_IsoDate,,ResultIndicatorBaseline_IsoDate
,ResultIndicatorBaseline_Year,,ResultIndicatorBaseline_Year
,ResultIndicatorBaseline_Value,,ResultIndicatorBaseline_Value
,ResultIndicatorBaselineLocation,ResultIndicatorBaselineLocation,
,ResultIndicatorBaselineLocation_Ref,,ResultIndicatorBaselineLocation_Ref
,ResultIndicatorBaselineDimension,ResultIndicatorBaselineDimension,
,ResultIndicatorBaselineDimension_Name,,ResultIndicatorBaselineDimension_Name
,ResultIndicatorBaselineDimension_Value,,ResultIndicatorBaselineDimension_Value
,ResultIndicatorBaselineDocumentLink,ResultIndicatorBaselineDocumentLink,
,ResultIndicatorBaselineDocumentLink_Url,,ResultIndicatorBaselineDocumentLink_Url
,ResultIndicatorBaselineDocumentLink_Format,,ResultIndicatorBaselineDocumentLink_Format
,ResultIndicatorBaselineDocumentLinkTitle,ResultIndicatorBaselineDocumentLinkTitle,
,ResultIndicatorBaselineDocumentLinkTitleNarrative,ResultIndicatorBaselineDocumentLinkTitleNarrative,
,ResultIndicatorBaselineDocumentLinkTitleNarrative_Text,,ResultIndicatorBaselineDocumentLinkTitleNarrative_Text
,ResultIndicatorBaselineDocumentLinkTitleNarrative_Lang,,ResultIndicatorBaselineDocumentLinkTitleNarrative_Lang
,ResultIndicatorBaselineDocumentLinkDescription,ResultIndicatorBaselineDocumentLinkDescription,
,ResultIndicatorBaselineDocumentLinkDescriptionNarrative,ResultIndicatorBaselineDocumentLinkDescriptionNarrative,
,ResultIndicatorBaselineDocumentLinkDescriptionNarrative_Text,,ResultIndicatorBaselineDocumentLinkDescriptionNarrative_Text
,ResultIndicatorBaselineDocumentLinkDescriptionNarrative_Lang,,ResultIndicatorBaselineDocumentLinkDescriptionNarrative_Lang
,ResultIndicatorBaselineDocumentLinkCategory,ResultIndicatorBaselineDocumentLinkCategory,
,ResultIndicatorBaselineDocumentLinkCategory_Code,,ResultIndicatorBaselineDocumentLinkCategory_Code
,ResultIndicatorBaselineDocumentLinkLanguage,ResultIndicatorBaselineDocumentLinkLanguage,
,ResultIndicatorBaselineDocumentLinkLanguage_Code,,ResultIndicatorBaselineDocumentLinkLanguage_Code
,ResultIndicatorBaselineDocumentLinkDocumentDate,ResultIndicatorBaselineDocumentLinkDocumentDate,
,ResultIndicatorBaselineDocumentLinkDocumentDate_IsoDate,,ResultIndicatorBaselineDocumentLinkDocumentDate_IsoDate
,ResultIndicatorBaselineComment,ResultIndicatorBaselineComment,
,ResultIndicatorBaselineCommentNarrative,ResultIndicatorBaselineCommentNarrative,
,ResultIndicatorBaselineCommentNarrative_Text,,ResultIndicatorBaselineCommentNarrative_Text
,ResultIndicatorBaselineCommentNarrative_Lang,,ResultIndicatorBaselineCommentNarrative_Lang
,ResultIndicatorPeriod,ResultIndicatorPeriod,
,ResultIndicatorPeriodPeriodStart,ResultIndicatorPeriodPeriodStart,
,ResultIndicatorPeriodPeriodStart_IsoDate,,ResultIndicatorPeriodPeriodStart_IsoDate
,ResultIndicatorPeriodPeriodEnd,ResultIndicatorPeriodPeriodEnd,
,ResultIndicatorPeriodPeriodEnd_IsoDate,,ResultIndicatorPeriodPeriodEnd_IsoDate
,ResultIndicatorPeriodTarget,ResultIndicatorPeriodTarget,
,ResultIndicatorPeriodTarget_Value,,ResultIndicatorPeriodTarget_Value
,ResultIndicatorPeriodTargetLocation,ResultIndicatorPeriodTargetLocation,
,ResultIndicatorPeriodTargetLocation_Ref,,ResultIndicatorPeriodTargetLocation_Ref
,ResultIndicatorPeriodTargetDimension,ResultIndicatorPeriodTargetDimension,
,ResultIndicatorPeriodTargetDimension_Name,,ResultIndicatorPeriodTargetDimension_Name
,ResultIndicatorPeriodTargetDimension_Value,,ResultIndicatorPeriodTargetDimension_Value
,ResultIndicatorPeriodTargetComment,ResultIndicatorPeriodTargetComment,
,ResultIndicatorPeriodTargetCommentNarrative,ResultIndicatorPeriodTargetCommentNarrative,
,ResultIndicatorPeriodTargetCommentNarrative_Text,,ResultIndicatorPeriodTargetCommentNarrative_Text
,ResultIndicatorPeriodTargetCommentNarrative_Lang,,ResultIndicatorPeriodTargetCommentNarrative_Lang
,ResultIndicatorPeriodTargetDocumentLink,ResultIndicatorPeriodTargetDocumentLink,
,ResultIndicatorPeriodTargetDocumentLink_Url,,ResultIndicatorPeriodTargetDocumentLink_Url
,ResultIndicatorPeriodTargetDocumentLink_Format,,ResultIndicatorPeriodTargetDocumentLink_Format
,ResultIndicatorPeriodTargetDocumentLinkTitle,ResultIndicatorPeriodTargetDocumentLinkTitle,
,ResultIndicatorPeriodTargetDocumentLinkTitleNarrative,ResultIndicatorPeriodTargetDocumentLinkTitleNarrative,
,ResultIndicatorPeriodTargetDocumentLinkTitleNarrative_Text,,ResultIndicatorPeriodTargetDocumentLinkTitleNarrative_Text
,ResultIndicatorPeriodTargetDocumentLinkTitleNarrative_Lang,,ResultIndicatorPeriodTargetDocumentLinkTitleNarrative_Lang
,ResultIndicatorPeriodTargetDocumentLinkDescription,ResultIndicatorPeriodTargetDocumentLinkDescription,
,ResultIndicatorPeriodTargetDocumentLinkDescriptionNarrative,ResultIndicatorPeriodTargetDocumentLinkDescriptionNarrative,
,ResultIndicatorPeriodTargetDocumentLinkDescriptionNarrative_Text,,ResultIndicatorPeriodTargetDocumentLinkDescriptionNarrative_Text
,ResultIndicatorPeriodTargetDocumentLinkDescriptionNarrative_Lang,,ResultIndicatorPeriodTargetDocumentLinkDescriptionNarrative_Lang
,ResultIndicatorPeriodTargetDocumentLinkCategory,ResultIndicatorPeriodTargetDocumentLinkCategory,
,ResultIndicatorPeriodTargetDocumentLinkCategory_Code,,ResultIndicatorPeriodTargetDocumentLinkCategory_Code
,ResultIndicatorPeriodTargetDocumentLinkLanguage,ResultIndicatorPeriodTargetDocumentLinkLanguage,
,ResultIndicatorPeriodTargetDocumentLinkLanguage_Code,,ResultIndicatorPeriodTargetDocumentLinkLanguage_Code
,ResultIndicatorPeriodTargetDocumentLinkDocumentDate,ResultIndicatorPeriodTargetDocumentLinkDocumentDate,
,ResultIndicatorPeriodTargetDocumentLinkDocumentDate_IsoDate,,ResultIndicatorPeriodTargetDocumentLinkDocumentDate_IsoDate
,ResultIndicatorPeriodActual,ResultIndicatorPeriodActual,
,ResultIndicatorPeriodActual_Value,,ResultIndicatorPeriodActual_Value
,ResultIndicatorPeriodActualLocation,ResultIndicatorPeriodActualLocation,
,ResultIndicatorPeriodActualLocation_Ref,,ResultIndicatorPeriodActualLocation_Ref
,ResultIndicatorPeriodActualDimension,ResultIndicatorPeriodActualDimension,
,ResultIndicatorPeriodActualDimension_Name,,ResultIndicatorPeriodActualDimension_Name
,ResultIndicatorPeriodActualDimension_Value,,ResultIndicatorPeriodActualDimension_Value
,ResultIndicatorPeriodActualComment,ResultIndicatorPeriodActualComment,
,ResultIndicatorPeriodActualCommentNarrative,ResultIndicatorPeriodActualCommentNarrative,
,ResultIndicatorPeriodActualCommentNarrative_Text,,ResultIndicatorPeriodActualCommentNarrative_Text
,ResultIndicatorPeriodActualCommentNarrative_Lang,,ResultIndicatorPeriodActualCommentNarrative_Lang
,ResultIndicatorPeriodActualDocumentLink,ResultIndicatorPeriodActualDocumentLink,
,ResultIndicatorPeriodActualDocumentLink_Url,,ResultIndicatorPeriodActualDocumentLink_Url
,ResultIndicatorPeriodActualDocumentLink_Format,,ResultIndicatorPeriodActualDocumentLink_Format
,ResultIndicatorPeriodActualDocumentLinkTitle,ResultIndicatorPeriodActualDocumentLinkTitle,
,ResultIndicatorPeriodActualDocumentLinkTitleNarrative,ResultIndicatorPeriodActualDocumentLinkTitleNarrative,
,ResultIndicatorPeriodActualDocumentLinkTitleNarrative_Text,,ResultIndicatorPeriodActualDocumentLinkTitleNarrative_Text
,ResultIndicatorPeriodActualDocumentLinkTitleNarrative_Lang,,ResultIndicatorPeriodActualDocumentLinkTitleNarrative_Lang
,ResultIndicatorPeriodActualDocumentLinkDescription,ResultIndicatorPeriodActualDocumentLinkDescription,
,ResultIndicatorPeriodActualDocumentLinkDescriptionNarrative,ResultIndicatorPeriodActualDocumentLinkDescriptionNarrative,
,ResultIndicatorPeriodActualDocumentLinkDescriptionNarrative_Text,,ResultIndicatorPeriodActualDocumentLinkDescriptionNarrative_Text
,ResultIndicatorPeriodActualDocumentLinkDescriptionNarrative_Lang,,ResultIndicatorPeriodActualDocumentLinkDescriptionNarrative_Lang
,ResultIndicatorPeriodActualDocumentLinkCategory,ResultIndicatorPeriodActualDocumentLinkCategory,
,ResultIndicatorPeriodActualDocumentLinkCategory_Code,,ResultIndicatorPeriodActualDocumentLinkCategory_Code
,ResultIndicatorPeriodActualDocumentLinkLanguage,ResultIndicatorPeriodActualDocumentLinkLanguage,
,ResultIndicatorPeriodActualDocumentLinkLanguage_Code,,ResultIndicatorPeriodActualDocumentLinkLanguage_Code
,ResultIndicatorPeriodActualDocumentLinkDocumentDate,ResultIndicatorPeriodActualDocumentLinkDocumentDate,
,ResultIndicatorPeriodActualDocumentLinkDocumentDate_IsoDate,,ResultIndicatorPeriodActualDocumentLinkDocumentDate_IsoDate
,CrsAdd,CrsAdd,
,CrsAddOtherFlags,CrsAddOtherFlags,
,CrsAddOtherFlags_Code,,CrsAddOtherFlags_Code
,CrsAddOtherFlags_Significance,,CrsAddOtherFlags_Significance
,CrsAddLoanTerms,CrsAddLoanTerms,
,CrsAddLoanTerms_Rate1,,CrsAddLoanTerms_Rate1
,CrsAddLoanTerms_Rate2,,CrsAddLoanTerms_Rate2
,CrsAddLoanTermsRepaymentType,CrsAddLoanTermsRepaymentType,
,CrsAddLoanTermsRepaymentType_Code,,CrsAddLoanTermsRepaymentType_Code
,CrsAddLoanTermsRepaymentPlan,CrsAddLoanTermsRepaymentPlan,
,CrsAddLoanTermsRepaymentPlan_Code,,CrsAddLoanTermsRepaymentPlan_Code
,CrsAddLoanTermsCommitmentDate,CrsAddLoanTermsCommitmentDate,
,CrsAddLoanTermsCommitmentDate_IsoDate,,CrsAddLoanTermsCommitmentDate_IsoDate
,CrsAddLoanTermsRepaymentFirstDate,CrsAddLoanTermsRepaymentFirstDate,
,CrsAddLoanTermsRepaymentFirstDate_IsoDate,,CrsAddLoanTermsRepaymentFirstDate_IsoDate
,CrsAddLoanTermsRepaymentFinalDate,CrsAddLoanTermsRepaymentFinalDate,
,CrsAddLoanTermsRepaymentFinalDate_IsoDate,,CrsAddLoanTermsRepaymentFinalDate_IsoDate
,CrsAddLoanStatus,CrsAddLoanStatus,
,CrsAddLoanStatus_Year,,CrsAddLoanStatus_Year
,CrsAddLoanStatus_Currency,,CrsAddLoanStatus_Currency
,CrsAddLoanStatus_ValueDate,,CrsAddLoanStatus_ValueDate
,CrsAddLoanStatusInterestReceived,CrsAddLoanStatusInterestReceived,
,CrsAddLoanStatusInterestReceived_Text,,CrsAddLoanStatusInterestReceived_Text
,CrsAddLoanStatusPrincipalOutstanding,CrsAddLoanStatusPrincipalOutstanding,
,CrsAddLoanStatusPrincipalOutstanding_Text,CrsAddLoanStatusPrincipalOutstanding_Text,
,CrsAddLoanStatusPrincipalArrears,CrsAddLoanStatusPrincipalArrears,
,CrsAddLoanStatusPrincipalArrears_Text,,CrsAddLoanStatusPrincipalArrears_Text
,CrsAddLoanStatusInterestArrears,CrsAddLoanStatusInterestArrears,
,CrsAddLoanStatusInterestArrears_Text,,CrsAddLoanStatusInterestArrears_Text
,CrsAddChannelCode,CrsAddChannelCode,
,Fss,Fss,
,Fss_ExtractionDate,,Fss_ExtractionDate
,Fss_Priority,,Fss_Priority
,Fss_PhaseoutYear,,Fss_PhaseoutYear
,FssForecast,FssForecast,
,FssForecast_Text,,FssForecast_Text
,FssForecast_Year,,FssForecast_Year
,FssForecast_Currency,,FssForecast_Currency
,FssForecast_ValueDate,,FssForecast_ValueDate
